350.0,9.322000000000001
351.0,9.338
352.0,9.317
353.0,9.347
354.0,9.315999999999999
355.0,9.306
356.0,9.275
357.0,9.285
358.0,9.249
359.0,9.229000000000001
360.0,9.176
361.0,9.187
362.0,9.155
363.0,9.162
364.0,9.126
365.0,9.112
366.0,9.093
367.0,9.056
368.0,9.007
369.0,9.027
370.0,8.977
371.0,8.965
372.0,8.933
373.0,8.907
374.0,8.872
375.0,8.856
376.0,8.822
377.0,8.791
378.0,8.769
379.0,8.743
380.0,8.712
381.0,8.676
382.0,8.668
383.0,8.652
384.0,8.613
385.0,8.597
386.0,8.557
387.0,8.551
388.0,8.507
389.0,8.496
390.0,8.466000000000001
391.0,8.436
392.0,8.411999999999999
393.0,8.387
394.0,8.375
395.0,8.338
396.0,8.317
397.0,8.296
398.0,8.27
399.0,8.253
400.0,8.218
401.0,8.17
402.0,8.136
403.0,8.119
404.0,8.110000000000001
405.0,8.088999999999999
406.0,8.065999999999999
407.0,8.038
408.0,8.006
409.0,7.984
410.0,7.961
411.0,7.9159999999999995
412.0,7.92
413.0,7.893
414.0,7.866
415.0,7.859
416.0,7.833
417.0,7.805
418.0,7.78
419.0,7.761
420.0,7.736
421.0,7.741
422.0,7.689
423.0,7.664999999999999
424.0,7.628
425.0,7.6339999999999995
426.0,7.602
427.0,7.579000000000001
428.0,7.561
429.0,7.531
430.0,7.5280000000000005
431.0,7.484
432.0,7.487
433.0,7.451
434.0,7.428
435.0,7.42
436.0,7.405
437.0,7.372999999999999
438.0,7.378
439.0,7.329
440.0,7.316000000000001
441.0,7.311
442.0,7.257
443.0,7.264
444.0,7.2509999999999994
445.0,7.239
446.0,7.203
447.0,7.194000000000001
448.0,7.141
449.0,7.144
450.0,7.14
451.0,7.116
452.0,7.1
453.0,7.079
454.0,7.0840000000000005
455.0,7.037
456.0,7.028
457.0,6.987
458.0,6.989
459.0,6.97
460.0,6.974
461.0,6.936999999999999
462.0,6.928999999999999
463.0,6.923
464.0,6.894
465.0,6.881
466.0,6.854
467.0,6.848
468.0,6.821000000000001
469.0,6.804
470.0,6.790000000000001
471.0,6.761
472.0,6.785
473.0,6.757
474.0,6.726999999999999
475.0,6.702
476.0,6.69
477.0,6.707999999999999
478.0,6.686999999999999
479.0,6.656
480.0,6.637
