Wavelength,l
396.5456747427537,0.3409241697394232
399.24438342868257,0.3409241697394232
401.9430921146115,0.3409241697394232
404.64180080054035,0.3409241697394232
407.3405094864693,0.3409241697394232
410.0392181723982,0.34498390657179234
412.73792685832706,0.34904364340416194
415.436635544256,0.3571631170689007
418.13534423018484,0.3693423275660086
420.83405291611376,0.38152153806311695
423.5327616020426,0.39776048539259445
426.23147028797155,0.41399943272207196
428.93017897390047,0.4342981168839186
431.62888765982933,0.4586565378781349
434.32759634575825,0.478955222039982
437.0263050316871,0.4850448272885357
439.72501371761604,0.511433116698937
442.4237224035449,0.5357915376931528
445.1224310894738,0.5682694323521078
447.8211397754027,0.5926278533463241
450.5198484613316,0.6332252216700178
453.2185571472605,0.6616433794966037
455.9172658331894,0.6819420636584503
458.61597451911825,0.6981810109879278
461.31468320504723,0.7184796951497749
464.0133918909761,0.7306589056468829
466.71210057690496,0.7468978529763604
469.4108092628338,0.7631368003058379
472.1095179487628,0.7753160108029458
474.80822663469166,0.7874952213000541
477.5069353206205,0.8077939054619008
480.2056440065495,0.8199731159590091
482.90435269247837,0.832152326456117
485.60306137840723,0.8483912737855945
488.3017700643361,0.8605704842827029
491.0004787502651,0.8768094316121804
493.69918743619394,0.8889886421092883
496.3978961221228,0.897108115774027
499.0966048080518,0.9133470631035046
501.79531349398064,0.9214665367682433
504.4940221799095,0.9255262736006129
507.19273086583837,0.9377054840977208
509.89143955176735,0.9417652209300904
512.5901482376962,0.9458249577624596
515.2888569236251,0.9458249577624596
517.987565609554,0.9458249577624596
520.6862742954829,0.9377054840977208
523.3849829814118,0.9336457472653517
526.0836916673406,0.9295860104329821
528.7824003532696,0.9214665367682433
531.4811090391985,0.9214665367682433
534.1798177251274,0.9214665367682433
536.8785264110563,0.9255262736006129
539.5772350969852,0.9336457472653517
542.275943782914,0.9417652209300904
544.9746524688429,0.9539444314271983
547.6733611547719,0.9661236419243062
550.3720698407008,0.9783028524214146
553.0707785266296,0.9986015365832612
555.7694872125585,1.006721010248
558.4681958984875,1.0189002207451083
561.1669045844163,1.0229599575774775
563.8656132703452,1.0310794312422162
566.5643219562742,1.0351391680745858
569.263030642203,1.039198904906955
571.9617393281319,1.059497589068802
574.6604480140608,1.0696469311497254
577.3591566999897,1.1082144310572346
580.0578653859186,1.20158837820173
580.0578653859186,1.1122741678896038
582.7565740718475,1.2584246938549013
582.7565740718475,1.1427221941323742
585.4552827577764,1.3071415358433338
585.4552827577764,1.1914390361208067
588.1539914437053,1.3477389041670276
588.1539914437053,1.2624844306872705
590.8527001296342,1.343679167334658
593.551408815563,1.3802167988259821
596.250117501492,1.4147245619011222
598.9488261874209,1.4431427197277076
601.6475348733497,1.4695310091381084
604.3462435592787,1.518247851126541
607.0449522452076,1.5426062721207572
609.7436609311364,1.5629049562826043
612.4423696170653,1.583203640444451
615.1410783029943,1.6035023246062976
617.8397869889232,1.619741271935775
620.538495674852,1.6359802192652526
623.237204360781,1.6562789034270997
625.9359130467099,1.6725178507565772
628.6346217326387,1.680637324421316
631.3333304185676,1.7171749559126401
634.0320391044966,1.7354437716583022
636.7307477904254,1.7699515347334422
639.4294564763543,1.794309955727658
642.1281651622832,1.790250218895289
644.8268738482121,1.7821307452305502
647.525582534141,1.7740112715658114
650.2242912200699,1.7699515347334422
652.9229999059988,1.7740112715658114
655.6217085919277,1.7861904820629193
658.3204172778566,1.794309955727658
661.0191259637854,1.8105489030571356
663.7178346497144,1.826787850386613
666.4165433356433,1.8389670608837214
669.1152520215721,1.855206008213199
671.8139607075011,1.8714449555426764
674.51266939343,1.887683902872154
677.2113780793588,1.9039228502016314
679.9100867652877,1.920161797531109
682.6087954512167,1.9364007448605864
685.3075041371455,1.952639692190064
688.0062128230744,1.9648189026871719
690.7049215090034,1.9810578500166494
693.4036301949322,1.989177323681388
696.1023388808611,2.001356534178496
698.80104756679,2.0135357446756044
701.499756252719,2.0257149551727123
704.1984649386478,2.0378941656698206
706.8971736245767,2.0500733761669285
709.5958823105057,2.0581928498316673
712.2945909964345,2.0703720603287756
714.9932996823634,2.0784915339935144
717.6920083682922,2.086611007658253
720.3907170542212,2.0906707444906223
723.0894257401501,2.098790218155361
725.788134426079,2.1028499549877306
728.4868431120078,2.1069096918201
731.1855517979368,2.1109694286524694
733.8842604838657,2.119088902317208
736.5829691697945,2.1231486391495773
739.2816778557235,2.131268112814316
741.9803865416524,2.1353278496466856
744.6790952275812,2.1434473233114244
747.3778039135101,2.151566796976163
750.0765125994391,2.159686270640902
