lambda,extinction_coefficient
886.0,0.056094
888.0,0.057454
890.0,0.058314
892.0,0.0596615
894.0,0.0605119999999999
896.0,0.06185
898.0,0.062692
900.0,0.064088
902.0,0.065618
904.0,0.066724
906.0,0.067686
908.0,0.0696815
910.0,0.0711165
912.0,0.073579
914.0,0.075618
916.0,0.077922
918.0,0.0824735
920.0,0.0860505
922.0,0.09268
924.0,0.098192
926.0,0.104222
928.0,0.11131
930.0,0.123767
932.0,0.1327375
934.0,0.1419389999999999
936.0,0.155737
938.0,0.168802
940.0,0.181811
942.0,0.203429
944.0,0.2196354999999999
946.0,0.2377685
948.0,0.2584735
950.0,0.297625
952.0,0.327359
954.0,0.362238
956.0,0.393028
958.0,0.418442
960.0,0.438514
962.0,0.4584975
964.0,0.4666725
966.0,0.472862
968.0,0.4770795
970.0,0.479982
972.0,0.4828725
974.0,0.486399
976.0,0.486689
978.0,0.485694
980.0,0.482138
982.0,0.478597
984.0,0.473793
986.0,0.467734
988.0,0.460428
990.0,0.453151
992.0,0.44337
994.0,0.436157
996.0,0.426449
998.0,0.41678
1000.0,0.40715
