scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
scattering,2band_blue,0.5,0.5,1.0,0.08161297795617066,True,0,0.0,0.0,False,0,0.0358872940822262,0.9183870220438294,4.015017139869888,0.0,3.5150960135800697,0.0,3.3232696633931926,0.0,3.23100533652928,0.0,3.2566189963246344,0.0,3.231725561257552,0.0
scattering,2band_blue,0.5,1.0,1.0,0.08197015341790127,True,0,0.0,0.0,False,0,0.028928428427239198,0.9180298465820987,4.130626607920471,0.0,3.6151839746011056,0.0,3.4171233629147273,0.0,3.3205199375465586,0.0,3.3483879700051644,0.0,3.321226252258762,0.0
scattering,2band_blue,0.5,1.5,1.0,0.0824575937590968,True,0,0.0,0.0,False,0,0.021797521928755045,0.9175424062409032,4.2579538291022425,0.0,3.724631585175606,0.0,3.5198152290626177,0.0,3.419399005982165,0.0,3.4463029098678737,0.0,3.4192582065902632,0.0
scattering,2band_blue,0.5,2.0,1.0,0.08144381340227887,True,0,0.0,0.0,False,0,0.014574095873581487,0.9185561865977211,4.380008902576763,0.0,3.839299996489794,0.0,3.629762159718437,0.0,3.5257154994666435,0.0,3.5544147774422052,0.0,3.5266226542020913,0.0
scattering,2band_blue,2.340347319320716,0.5,1.0,0.08161299667324402,True,0,0.0,0.0,False,0,0.03588729408222622,0.9183870033267559,18.79306920064244,0.0,16.4530910650741,0.0,15.555210496204234,0.0,15.123349356114456,0.0,15.243239076194557,0.0,15.126720508138696,0.0
scattering,2band_blue,2.340347319320716,1.0,1.0,0.08197017170113802,True,0,0.0,0.0,False,0,0.028928428427239222,0.9180298282988619,19.33420181792299,0.0,16.921572247617817,0.0,15.994511004371345,0.0,15.542339869176159,0.0,15.672781619294643,0.0,15.545645912662764,0.0
scattering,2band_blue,2.340347319320716,1.5,1.0,0.08245761161561316,True,0,0.0,0.0,False,0,0.021797521928755073,0.9175423883843868,19.930181659461624,0.0,17.433863091646,0.0,16.47518027168186,0.0,16.00516259467656,0.0,16.131091553352924,0.0,16.004503555717765,0.0
scattering,2band_blue,2.340347319320716,2.0,1.0,0.08144383051424088,True,0,0.0,0.0,False,0,0.014574095873581472,0.9185561694857591,20.501484187492792,0.0,17.970590909705848,0.0,16.989808280537638,0.0,16.502797635728516,0.0,16.637130192281614,0.0,16.507043750035145,0.0
scattering,2band_blue,10.95445115010332,0.5,1.0,0.08161300067202631,True,0,0.0,0.0,False,0,0.035887294082226184,0.9183869993279736,87.96461825106451,0.0,77.0118951373716,0.0,72.8091903725221,0.0,70.7877802494663,0.0,71.34894741947343,0.0,70.8035595826722,0.0
scattering,2band_blue,10.95445115010332,1.0,1.0,0.08197017560723376,True,0,0.0,0.0,False,0,0.028928428427239233,0.9180298243927663,90.49749479156353,0.0,79.20471249680834,0.0,74.8654219058523,0.0,72.7489468975958,0.0,73.3595048980304,0.0,72.76442147761865,0.0
