sample,bili_truth_uM,hb_truth_uM,r450_median,r517_median,r450_over_r517,bi_raw_median,bi_raw_iqr,bi_corrected_median,bi_corrected_iqr,bi_raw_fit_uM,bi_corrected_fit_uM,bi_raw_loo_uM,bi_corrected_loo_uM
A1,270.0,100.0,0.33603238866355944,0.3654618473891179,0.919473239311287,0.03647981001160447,0.018941690375252757,0.03647981001160447,0.018941690375252757,410.5134072391976,410.5134072391976,790.9178599395385,790.9178599395385
A2,135.0,100.0,0.359999999999568,0.3846153846149175,0.9360000000000136,0.028439340060950696,0.018469671180233266,0.028439340060950696,0.018469671180233266,109.92248186020176,109.92248186020176,101.88409285969249,101.88409285969249
A3,67.5,100.0,0.3705179282864097,0.39199999999952956,0.9451987966501387,0.02446012750367177,0.019128620415438655,0.02446012750367177,0.019128620415438655,57.26452778467928,57.26452778467928,55.31246140928349,55.31246140928349
A4,33.75,100.0,0.3765182186230244,0.3935742971882809,0.9566636371147553,0.01881586260164997,0.01702253704993406,0.01881586260164997,0.01702253704993406,22.708212410925896,22.708212410925896,20.60096532585275,20.60096532585275
A5,16.875,100.0,0.3759999999995488,0.39112903225759144,0.9613195876288751,0.017082940693336296,0.01694419751974524,0.017082940693336296,0.01694419751974524,17.094278375876637,17.094278375876637,17.186271353585656,17.186271353585656
A6,8.4375,100.0,0.37751004016018774,0.39199999999952956,0.9630358167363285,0.014814411327012056,0.017341230994869727,0.014814411327012056,0.017341230994869727,11.786893925269274,11.786893925269274,15.579926994915336,15.579926994915336
